id,text
18,Get rich quick with our crypto investment plan! Sign up now! 💰
102,"Hey, just checking in about our meeting next week. Let me know your availability!"
128,Your invoice is 4tt4ched. Ple4se review 4nd process it 4t your e4rliest convenience.
138,Your payment is due. Please settle your account to avoid late fees.
148,Congratulations! You've been selected for a chance to win a new car!
65,Your parcel is held at customs. Pay the fee to release it.
92,Congratulations! You’ve been pre-approved for a credit card!
38,Looking forward to our lunch meeting next week!
27,Your gift card balance is low! Reload now to keep shopping!
91,Your package is waiting for you at the post office. Don’t forget to pick it up!
96,You’ve received a special offer! Click here to learn more!
59,Invοіϲе #12345 іs οvеrduе. Pⅼеɑsе mɑkе thе pɑymеnt tο ɑvοіd pеnɑⅼtіеs.
139,Excited for the upcoming conference! Let's catch up there!
33,You've received a new message from a potential match! Check it out! 💌
144,Just a quick note to say I appreciate all your hard work!
125,Your package is ready for pickup. Visit us at the store!
82,Yοu hɑvе ɑ nеw mеssɑgе frοm yοur bɑnk. Lοg іn tο vіеw іt.
13,Looking forward to our meeting next week! Let’s finalize the agenda.
1,Congratulations! You've won a $1000 gift card! Click here to claim your prize: winbig[.]com
3,Your package is on hold due to customs. Please verify your details here: customs-check[.]com
44,Just a quick note to say I appreciate your hard work!
31,Can we discuss the budget in our next meeting?
9,Delivery confirmed! Your order will arrive on Tuesday. Thanks for shopping with us!
79,Congratulations! You’ve won a brand new smartphone! Claim it at win[[.]]com!
87,Your account has been flagged for suspicious activity. Verify now!
99,You have a new message from your online dating profile! Check it out!
72,Congratulations! You’ve been selected for a free vacation! Click here to claim!
69,"Your subscription has been renewed. If this was not you, contact support."
40,Great job on the last project! Let’s keep the momentum going!
134,Looking for volunteers for the community event next month! Let me know if you're interested!
121,Claim your free crypto analysis report! Limited time offer!
84,Your order has shipped! Expect delivery in 3-5 business days.
137,Reminder: The deadline for the scholarship application is next week!
6,Urgent: Your account has been compromised. Please log in immediately to secure it: secure-login[.]com
11,Your invoice is attached. Please process it by the end of the week.
89,Your subscription is about to expire. Renew now to continue enjoying our services!
126,Win a brand new iPhone! Enter the contest now: winiphone[.]com
104,Reminder: The project deadline is approaching. Please submit your reports by Friday.
122,Don't forget the team outing this Friday! Let me know if you can make it!
152,"Hey, just checking in about our project deadline next week. Let me know if you need any help!"
95,Just a reminder about the deadline for the project proposal!
43,Your subscription is about to expire! Renew now for uninterrupted service!
56,Just a quick note to say I enjoyed our lunch today! Let’s do it again soon. 😊
16,Can we reschedule our call to Thursday? Let me know what works for you!
118,We need to discuss your recent performance. Please meet me in my office.
73,Don’t forget the deadline for the project submission is next Friday!
45,Your delivery is scheduled for tomorrow between 10 AM and 12 PM.
5,I can't believe we won the match! 🎉 Let's celebrate this weekend!
81,Your package is on its way! Track it here: tracking[.]com
136,You've received a new message from your secret admirer! Check it out!
34,Reminder: The deadline for the project is approaching fast!
7,"Just a heads up, the deadline for submissions is next Friday. Make sure to submit on time!"
94,Yοur pɑymеnt іs duе sοοn. Pⅼеɑsе еnsurе іt’s mɑdе οn tіmе tο ɑvοіd ⅼɑtе fееs.
17,Your parcel is ready for pickup. Please bring your ID to the counter.
98,Your feedback is valuable! Please take our short survey.
54,"Hey, did you see the new project updates? Let’s discuss in our next call!"
75,Just a friendly reminder about the team outing next month!
63,Can you send me the report by EOD? Thanks!
124,Looking forward to our brainstorming session next week!
51,Congrats! You've won a $1000 gift card! Click here to claim your prize: win[​.​]com
156,Looking forward to the game this Saturday! Let's meet at the usual spot! ⚽️
116,Meeting rescheduled to 3 PM. Please update your calendars!
62,Get rich quick! Invest in crypto today and watch your wealth grow! 🚀
2,"Hey, just checking in on the project status. Let me know if you need any help!"
111,Don't miss your chance to win a luxury vacation! Enter now: sweepstakes[.]com
123,Your account has been flagged for suspicious activity. Verify your identity here: secure[.]com
70,Hey! Are we still on for dinner this weekend? 🍽️
143,Urgent: Your account has been compromised. Click here to secure it!
85,You’ve been selected for a chance to win a $500 gift card!
67,Claim your free trial now! Limited time offer! Don’t miss out!
86,Can you please confirm the meeting time? I want to make sure I’m available.
93,Let’s catch up soon! It’s been too long!
37,You have a new notification! Click here to see it: notification[.]com
153,Your invoice for the recent purchase is attached. Please review and confirm.
64,We have a special offer just for you! 50% off your next purchase!
78,Your feedback is important to us! Please take a moment to complete our survey.
20,Your account is eligible for a special offer! Click here to claim: special-offer[.]com
42,Can you send me the updated timeline for the project?
117,Your delivery has been shipped! Track it here: tracking[.]com
47,Looking forward to seeing everyone at the team-building event!
14,Your subscription has been renewed. Thank you for being a valued customer!
108,Just wanted to say great job on the last presentation! Really impressed!
10,"Hey, did you see the latest episode of that show? So good! 😄"
15,You have a new follower! Check out their profile: fakeprofile[.]com
68,Just checking in! How’s everything going with the new project?
114,Hi! Just wanted to confirm our lunch plans for tomorrow. What time works for you?
35,Your invoice is overdue. Please pay immediately to avoid penalties.
39,Your account has been flagged for suspicious activity. Please verify: verify-account[.]com
119,🚨 Alert: Your login details have been compromised. Change your password now!
32,Your package is delayed. Please contact us for more information.
8,You have a new message from your secret admirer! Check it out now! ❤️
80,Looking forward to our collaboration! Let’s make it a success!
55,Urgent: Your account has been compromised. Log in immediately to secure it!
23,Your login attempt was unsuccessful. Please verify your credentials: verify-login[.]com
30,Congratulations! You've been chosen for a free trial of our premium service!
83,Just wanted to say thanks for your help on the project!
60,Great job on the presentation! The client was really impressed!
115,You've been selected for a special offer! Claim your free gift card today!
12,Win a free iPhone! Just enter your email here: freeiphones[.]com
50,You have a new message from a friend! Check it out now!
112,The school play is this Friday! Can't wait to see everyone there! 🎭
26,Just finished the draft! Will send it over for your feedback.
