id,text
7,Can we reschedule our lunch to next week? Let me know what works for you!
26,The project deadline has been extended by one week!
93,Just a reminder that the office will be closed for the holiday next week!
29,Your login attempt was unsuccessful. Please try again or reset your password.
13,The team is doing a great job on the project! Keep it up!
28,Just finished the report! Sending it over for your review.
123,Your account is eligible for an upgrade! Click here to learn more: upgrade[[.]]com
83,Your account has been flagged for suspicious activity. Please log in to verify.
119,The deadline for the scholarship application is approaching. Don't forget to apply!
1,Hey! Just checking in on the project status. Let me know if you need anything! 😊
48,Looking forward to our brainstorming session next week!
124,Looking forward to the game this weekend! Let's meet at the usual spot! ⚽
8,🔥 Invеst іn ϲryptο nοw ɑnd wɑtϲh yοur wеɑⅼth grοw! Dοn't mіss οut! 🔥
105,🚨 Urgent: Your account has been compromised. Log in immediately to secure it!
71,We need to finalize the project details by EOD. Let’s touch base!
2,Congratulations! You've won a $1000 gift card! Click here to claim your prize: win[.]com
122,Just wanted to say thanks for your help with the project! You're the best!
103,Yοur pɑrϲеⅼ іs οn hοⅼd duе tο ϲustοms. Pⅼеɑsе vеrіfy yοur dеtɑіⅼs hеrе: ϲustοms-ϲhеϲk[.]ϲοm
64,"Your subscription has been renewed. If this was not you, contact us immediately!"
98,Great job on the report! It was very well received by the team!
89,Can you send me the updated project plan? I need it for the meeting.
114,The school play is this Saturday at 7 PM. Tickets are still available! 🎭
45,You have a new message from a potential employer! Check it out!
107,Don't miss out on our exclusive offer! 50% off on all items this weekend only!
18,Looking forward to our meeting next week! Let’s finalize the agenda.
91,Looking forward to seeing everyone at the team building event!
54,Reminder: Team meeting at 3 PM tomorrow. Please be prepared with your updates!
95,Can we discuss the marketing strategy in our next meeting?
112,Just a reminder about the team lunch on Friday! Looking forward to it! 🍽️
24,"Your subscription has been renewed. If this was a mistake, contact us."
47,Your account has been flagged for suspicious activity. Please verify your identity.
25,You have a new follower! Check out their profile now!
52,"Hey, just checking in on the project timeline. Are we still on track for Friday?"
38,Reminder: The office will be closed for the holiday next week!
99,Your package is waiting for you! Pick it up at your convenience!
80,Please confirm your attendance for the workshop by the end of the day.
9,"Just a heads up, the deadline for the report is next Friday. Please plan accordingly."
39,Claim your free trial now! No credit card required! Visit: free-trial[.]com
34,Your account will be charged if you do not cancel your subscription!
128,Your feedback is important to us! Please take a moment to fill out this survey.
70,Thanks for your input during the last meeting. It was very helpful!
97,You have a new message from your bank. Please log in to view.
106,Great job on the presentation! Everyone loved your ideas. Let's discuss further next week.
109,Your invoice is attached. Please make the payment by the end of the month.
37,You have a new match! Check your profile to see who it is! ❤️
69,Your account is eligible for a special upgrade. Click here to see details!
74,Your login attempt was unsuccessful. Please verify your credentials.
57,🚨 Important: Your account has been compromised. Log in immediately to secure it!
61,Hey! Just wanted to remind you about the deadline for the project submission.
96,Your feedback is important to us! Please take a moment to complete our survey.
120,Your subscription will expire soon. Renew now to continue enjoying our services.
62,You have won a crypto investment opportunity! Click here to learn more: bit[.]ly/crypto-win
3,Reminder: Our meeting is scheduled for tomorrow at 3 PM. Don't forget!
84,The deadline for the scholarship application is approaching. Don’t miss it!
75,Can you send me the latest sales figures when you get a chance? Thanks!
115,Your package has been shipped! Track it here: tracking-info[.]com
133,Don't forget to bring your ID for the meeting tomorrow!
121,🎉 You've been selected for a free trial! Click here to activate: freeoffer[.]com
113,You have a new message from your bank. Please log in to view it.
92,Your account is at risk! Click here to secure it: secure[.]com
55,Congratulations! You've been selected for a special gift card offer! Claim it now!
100,You’ve been selected for an exclusive investment opportunity! Don’t miss out!
66,Don't forget to submit your timesheets by the end of the day!
35,Hey! Just wanted to see if you’re free for coffee this week? ☕
41,Your payment is due soon. Please ensure it is made on time to avoid penalties.
44,Your order has been shipped! Track it here: tracking-link[.]com
4,Your p4rcel is on hold 4t customs. Ple4se verify your det4ils here: customs-check[.]com
16,Don't forget to submit your timesheets by the end of the week!
76,Congratulations! You've been selected for a free trial of our premium service!
102,Hey! Just checking in about our meeting tomorrow at 3 PM. Let me know if you can make it!
90,Your subscription has been activated. Welcome aboard!
19,You’ve been selected for a special offer! Click to find out more!
118,You have a new friend request! Check it out now!
10,Your invoice is overdue. Pay now to avoid late fees: invoice-pay[.]com
86,Just a quick note to say I appreciate your hard work on this project!
